device_id,timestamp,total_flows,total_bytes,total_packets,avg_packet_size,avg_duration_ms,tcp_ratio,udp_ratio,http_ratio,https_ratio,dns_ratio,rtsp_ratio,mqtt_ratio,hl7_ratio,modbus_ratio,unique_dst_ips,unique_dst_ports,external_ratio
cam_01,2026-06-03T05:41:39.937238+00:00,84,1282813,3592,357.1306,2768.8929,0.0,0.0,0.2738,0.131,0.0595,0.5357,0.0,0.0,0.0,5,5,0.119
cam_01,2026-06-03T05:46:39.937238+00:00,42,650305,1788,363.7053,2348.4524,0.0,0.0,0.2857,0.0952,0.119,0.5,0.0,0.0,0.0,5,5,0.2381
cam_01,2026-06-03T05:51:39.937238+00:00,63,969247,1875,516.9317,2379.5873,0.0,0.0,0.2222,0.1905,0.1111,0.4762,0.0,0.0,0.0,4,4,0.1746
cam_01,2026-06-03T05:56:39.937238+00:00,89,1400110,2767,506.0029,2287.3708,0.0,0.0,0.236,0.1573,0.0674,0.5393,0.0,0.0,0.0,5,5,0.1685
cam_01,2026-06-03T06:01:39.937238+00:00,68,1067058,2386,447.2163,2265.4265,0.0,0.0,0.2353,0.2059,0.0588,0.5,0.0,0.0,0.0,5,5,0.1618
cam_01,2026-06-03T06:06:39.937238+00:00,59,824166,1403,587.4312,2597.678,0.0,0.0,0.3051,0.1186,0.0847,0.4915,0.0,0.0,0.0,5,5,0.1356
cam_01,2026-06-03T06:11:39.937238+00:00,40,545806,988,552.4352,2814.45,0.0,0.0,0.15,0.075,0.05,0.725,0.0,0.0,0.0,4,5,0.075
cam_01,2026-06-03T06:16:39.937238+00:00,49,757425,1182,640.7995,2643.3878,0.0,0.0,0.2653,0.1429,0.0816,0.5102,0.0,0.0,0.0,5,5,0.1224
cam_01,2026-06-03T06:21:39.937238+00:00,86,1263032,2851,443.0137,2394.6395,0.0,0.0,0.2558,0.1395,0.1047,0.5,0.0,0.0,0.0,5,5,0.1395
cam_01,2026-06-03T06:26:39.937238+00:00,88,1334998,3050,437.7043,2364.1023,0.0,0.0,0.3068,0.0909,0.0795,0.5227,0.0,0.0,0.0,5,5,0.2273
